"PVWatts: Hourly PV Performance Data"
"Requested Location:","67-1125 Mamalahoa Hwy, Waimea, HI 96743, United States"
"Location:","Lat, Lon: 20.01, -155.66"
"Lat (deg N):","20.01"
"Long (deg W):","155.66"
"Elev (m):","851.71997070312"
"DC System Size (kW):","700"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.260"
"Capacity Factor (%)","16.4"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"10","10","9","893","77","23","3","771.294","40.852","426568.219","410492.625"
"10","10","10","931","83","24","3","936.079","46.022","506828.719","487320"
"10","10","11","263","417","25","3","701.929","42.143","388137.219","373584.313"
"10","10","12","946","91","25","3","1041.223","49.151","555123.875","533384.5"
"10","10","13","128","420","25","4","555.81","37.702","314288.125","302441.063"
"10","10","14","853","108","25","4","816.124","42.192","449540.531","432517.25"
"10","10","15","788","93","24","4","611.012","37.431","339993.031","327237"
"10","10","16","662","71","23","4","359.834","30.704","196065.313","187946.859"
"10","10","17","340","35","22","3","100.618","23.803","47791.152","43299.672"
"10","10","18","0","0","22","3","0","22","0","0"
"10","10","19","0","0","21","3","0","21","0","0"
"10","10","20","0","0","21","3","0","21","0","0"
"10","10","21","0","0","21","3","0","21","0","0"
"10","10","22","0","0","21","3","0","21","0","0"
"10","10","23","0","0","20","2","0","20","0","0"
"10","11","0","0","0","20","2","0","20","0","0"
"10","11","1","0","0","20","2","0","20","0","0"
"10","11","2","0","0","20","2","0","20","0","0"
"10","11","3","0","0","20","2","0","20","0","0"
"10","11","4","0","0","20","2","0","20","0","0"
"10","11","5","0","0","20","2","0","20","0","0"
"10","11","6","212","15","20","2","48.286","19.825","21702.436","17728.307"
"10","11","7","670","51","21","3","290.994","26.537","154625.172","147637.969"
"10","11","8","14","176","22","3","178.586","25.49","106999.805","101200.063"
"10","11","9","75","306","23","3","365.486","30.636","213752.141","205123.094"
"10","11","10","102","393","24","3","490.698","35.005","281184.813","270456.594"
"10","11","11","25","337","25","3","363.987","33.373","210299.75","201771.672"
"10","11","12","12","245","25","3","249.255","30.384","146118.125","139351.875"
"10","11","13","11","241","25","4","243.662","29.493","143450.078","136752.328"
"10","11","14","15","246","24","4","250.965","28.625","148337.25","141513.75"
"10","11","15","0","154","23","4","148.173","25.397","88950.906","83569.695"
"10","11","16","0","34","22","4","32.235","21.623","19695.031","15759.213"
"10","11","17","371","32","21","4","103.324","21.921","48659.922","44150.59"
"10","11","18","0","0","21","4","0","21","0","0"
"10","11","19","0","0","21","4","0","21","0","0"
"10","11","20","0","0","21","4","0","21","0","0"
"10","11","21","0","0","21","4","0","21","0","0"
"10","11","22","0","0","21","3","0","21","0","0"
"10","11","23","0","0","21","3","0","21","0","0"
"10","12","0","0","0","21","3","0","21","0","0"
"10","12","1","0","0","21","3","0","21","0","0"
"10","12","2","0","0","20","3","0","20","0","0"
"10","12","3","0","0","20","3","0","20","0","0"
"10","12","4","0","0","20","3","0","20","0","0"
"10","12","5","0","0","20","3","0","20","0","0"
"10","12","6","143","16","20","3","40.363","19.642","19441.537","15510.541"
"10","12","7","613","58","21","4","279.661","25.793","150046.109","143178.313"
"10","12","8","1","155","22","4","150.169","24.484","90525.344","85108.313"
"10","12","9","102","314","23","5","394.886","29.748","231867.359","222698.125"
"10","12","10","45","350","23","5","394.03","30.128","231245.172","222094.781"
"10","12","11","11","236","24","5","239.257","28.131","141780.234","135125.172"
"10","12","12","52","404","24","5","461.613","32.203","268232.219","257925.969"
"10","12","13","20","300","24","4","311.072","30.362","182369.078","174634.609"
"10","12","14","8","206","23","4","205.489","26.767","122546","116371.883"
"10","12","15","90","244","22","4","302.361","27.636","178865.609","171227.75"
"10","12","16","0","72","22","4","68.5","22.745","41635.195","37269.051"
"10","12","17","284","36","21","3","92.484","21.836","45436.188","40992.895"
"10","12","18","0","0","21","3","0","21","0","0"
"10","12","19","0","0","21","3","0","21","0","0"
"10","12","20","0","0","20","3","0","20","0","0"
"10","12","21","0","0","20","3","0","20","0","0"
"10","12","22","0","0","20","2","0","20","0","0"
"10","12","23","0","0","20","2","0","20","0","0"
"10","13","0","0","0","20","2","0","20","0","0"
"10","13","1","0","0","20","2","0","20","0","0"
"10","13","2","0","0","19","2","0","19","0","0"
"10","13","3","0","0","19","2","0","19","0","0"
"10","13","4","0","0","19","2","0","19","0","0"
"10","13","5","0","0","19","2","0","19","0","0"
"10","13","6","175","14","19","2","42.789","18.62","19794.887","15857.168"
"10","13","7","645","52","20","3","284.58","25.36","152423.313","145493.672"
"10","13","8","61","205","22","2","240.404","27.669","142081.672","135418.906"
